datetime,code,open,close,high,low,vol,amount,p_change
2018-04-23,000300,3754.69,3766.33,3787.4,3735.18,903562.0,111763030016.0,0.15
2018-04-20,000300,3801.21,3760.85,3815.44,3750.1,992829.0,123550662656.0,-1.34
2018-04-19,000300,3774.78,3811.84,3824.03,3767.8,990540.0,127520120832.0,1.21
2018-04-18,000300,3785.31,3766.28,3789.66,3708.11,1066767.0,143077670912.0,0.47
2018-04-17,000300,3812.87,3748.64,3822.63,3745.44,906107.0,126518755328.0,-1.58
2018-04-16,000300,3862.47,3808.86,3869.16,3789.61,992177.0,131566870528.0,-1.61
2018-04-13,000300,3920.74,3871.14,3929.95,3866.19,715442.0,98921824256.0,-0.71
2018-04-12,000300,3935.67,3898.64,3937.78,3896.18,826994.0,108075565056.0,-1.01
2018-04-11,000300,3934.17,3938.34,3958.71,3924.96,1119330.0,139989286912.0,0.28
2018-04-10,000300,3860.72,3927.17,3927.42,3851.8,1061737.0,137941303296.0,1.93
2018-04-09,000300,3851.95,3852.93,3870.67,3827.41,841054.0,118167273472.0,-0.05
2018-04-04,000300,3873.63,3854.86,3898.61,3852.5,887306.0,131593068544.0,-0.2
2018-04-03,000300,3850.15,3862.48,3878.15,3839.93,951373.0,132049936384.0,-0.63
2018-04-02,000300,3897.01,3886.92,3937.02,3882.89,1112426.0,159356076032.0,-0.3
2018-03-30,000300,3893.75,3898.5,3915.35,3879.21,975122.0,137959276544.0,0.11
2018-03-29,000300,3854.59,3894.05,3913.96,3794.26,1166290.0,164996775936.0,1.34
